image2.png,28,0,2,0
highways.png,11,4,0,8
traffic.png,31,0,1,4
vehicle classification-image02.png,25,0,0,2
road.png,21,2,6,0
road.png,21,2,6,0
road.png,21,2,6,0
road.png,21,2,6,0
road.png,21,2,6,0
road.png,21,2,6,0
highways.png,11,4,0,8
highways.png,11,4,0,8
highways.png,11,4,0,8
highways.png,11,4,0,8
highways2.jpg,14,0,2,1
highways2.jpg,14,0,2,1
highways2.jpg,14,0,2,1
highways2.jpg,14,0,2,1
highways.png,11,4,0,8
highways.png,11,4,0,8
highways.png,11,4,0,8
highways.png,11,4,0,8
